accuracy,loss,val_accuracy,val_loss,learning_rate,phase
0.4979568123817444,1.2708349227905273,0.6232278943061829,1.0000360012054443,0.0010000000474974513,initial
0.6527729034423828,0.89635169506073,0.6761177778244019,0.8492480516433716,0.0010000000474974513,initial
0.7025102376937866,0.7840319871902466,0.7202835083007812,0.7466685175895691,0.0010000000474974513,initial
0.7266783714294434,0.7137086391448975,0.7420938014984131,0.6706934571266174,0.0010000000474974513,initial
0.7385872602462769,0.6853359937667847,0.7633587718009949,0.6200371384620667,0.0010000000474974513,initial
0.7478108406066895,0.6567578315734863,0.7682660818099976,0.6236355900764465,0.0010000000474974513,initial
0.7617046236991882,0.6414794325828552,0.7704471349716187,0.6018600463867188,0.0010000000474974513,initial
0.757267951965332,0.6348055601119995,0.761722981929779,0.6314512491226196,0.0010000000474974513,initial
0.6082895398139954,1.0789886713027954,0.7802616953849792,0.5942429304122925,9.999999747378752e-06,finetune
0.7259778380393982,0.7150955200195312,0.7693566083908081,0.6147472262382507,9.999999747378752e-06,finetune
0.7778167128562927,0.5871700644493103,0.761722981929779,0.6401959657669067,9.999999747378752e-06,finetune
0.8044366836547852,0.5162919163703918,0.7895310521125793,0.5516316294670105,4.999999873689376e-06,finetune
0.8286047577857971,0.47096753120422363,0.8069792985916138,0.5102154016494751,4.999999873689376e-06,finetune
