model,accuracy,macro_precision,macro_recall,macro_f1
RandomForest,0.8497928543606813,0.8135344407974688,0.8806575081343923,0.8424350303895739
DecisionTree,0.8367267448036543,0.7909496231926896,0.8704477940234666,0.824678791067309
LogisticRegression,0.7775220424205942,0.6770348487023329,0.770833563966777,0.7123435455375781
