model,accuracy,macro_precision,macro_recall,macro_f1
RandomForest,0.8495449877837187,0.8156936450997033,0.8795697512009821,0.843282250828994
DecisionTree,0.8372932969795687,0.7940354789377844,0.8694592656654601,0.826140193022575
LogisticRegression,0.7774158138876102,0.6770855812812531,0.7708127001571385,0.7124108452953856
