model,accuracy,precision,recall,f1_score
LogisticRegression,0.8227785787123316,0.6745098039215687,0.4047058823529412,0.5058823529411764
DecisionTree,0.8227434157319174,0.6991044776119403,0.36737254901960786,0.4816452442159383
SVM,0.8250993354196702,0.7308072487644152,0.347921568627451,0.471413390010627
